sp|P12681|PGTP_SALTY	1595	25.714	210	150	5	26	232	20	226	3.62e-06	45.8
sp|P12681|PGTP_SALTY	3718	56.522	23	10	0	92	114	108	130	0.029	33.5
sp|P12681|PGTP_SALTY	72	36.957	46	25	1	73	114	84	129	0.28	30.4
sp|P12681|PGTP_SALTY	2854	24.684	158	112	3	14	165	187	343	0.71	28.9
sp|P12681|PGTP_SALTY	1607	25.397	63	46	1	223	285	268	329	1.5	28.1
sp|P12681|PGTP_SALTY	1195	23.596	89	64	2	34	118	23	111	7.8	25.8
sp|P12681|PGTP_SALTY	1298	35.714	28	18	0	27	54	173	200	8.0	25.8
sp|P12681|PGTP_SALTY	336	33.333	48	32	0	38	85	247	294	8.1	25.8
sp|P12681|PGTP_SALTY	3312	31.169	77	47	3	342	412	164	240	8.3	25.8
sp|P12681|PGTP_SALTY	1810	35.000	40	25	1	384	422	338	377	9.3	25.8
