qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
WP_012519282.1	WP_049588801.1	27.835	97	54	4	373	463	327	413	0.021	34.3
WP_012519282.1	WP_049587691.1	51.515	33	15	1	27	59	159	190	0.42	30.0
WP_012519282.1	WP_049589040.1	43.902	41	15	2	419	451	376	416	0.59	29.6
WP_012519282.1	WP_049586766.1	55.556	27	12	0	408	434	1014	1040	0.66	29.6
WP_012519282.1	WP_049586766.1	34.426	61	26	2	88	142	702	754	2.8	27.7
WP_012519282.1	WP_049586429.1	32.500	80	41	3	367	433	323	402	1.8	28.1
WP_012519282.1	WP_049585896.1	43.333	30	16	1	314	342	267	296	2.7	27.7
WP_012519282.1	WP_049589043.1	40.000	30	18	0	83	112	163	192	3.6	26.9
WP_012519282.1	WP_039224872.1	35.294	34	22	0	368	401	385	418	4.6	26.9
WP_012519282.1	WP_049586783.1	53.846	26	12	0	408	433	376	401	5.4	26.6
WP_012519282.1	WP_014998708.1	40.625	32	18	1	302	332	35	66	7.9	25.4
WP_020744078.1	WP_049588801.1	27.835	97	54	4	373	463	327	413	0.021	34.3
WP_020744078.1	WP_049587691.1	51.515	33	15	1	27	59	159	190	0.42	30.0
WP_020744078.1	WP_049589040.1	43.902	41	15	2	419	451	376	416	0.58	29.6
WP_020744078.1	WP_049586766.1	55.556	27	12	0	408	434	1014	1040	0.65	29.6
WP_020744078.1	WP_049586766.1	34.426	61	26	2	88	142	702	754	2.7	27.7
WP_020744078.1	WP_049586429.1	32.500	80	41	3	367	433	323	402	1.8	28.1
WP_020744078.1	WP_049585896.1	43.333	30	16	1	314	342	267	296	2.7	27.7
WP_020744078.1	WP_049589043.1	40.000	30	18	0	83	112	163	192	3.7	26.9
WP_020744078.1	WP_039224872.1	35.294	34	22	0	368	401	385	418	4.5	26.9
WP_020744078.1	WP_049586783.1	53.846	26	12	0	408	433	376	401	5.5	26.6
WP_020744078.1	WP_014998708.1	40.625	32	18	1	302	332	35	66	8.1	25.4
WP_268407738.1	WP_049588801.1	26.804	97	55	4	373	463	327	413	0.040	33.5
WP_268407738.1	WP_049589040.1	41.463	41	16	2	419	451	376	416	0.57	29.6
WP_268407738.1	WP_049586766.1	51.852	27	13	0	408	434	1014	1040	0.97	29.3
WP_268407738.1	WP_049586766.1	34.921	63	27	2	86	142	700	754	2.5	27.7
WP_268407738.1	WP_049586429.1	30.000	80	43	2	367	433	323	402	1.3	28.5
WP_268407738.1	WP_049585896.1	32.653	49	32	1	314	361	267	315	1.7	28.1
WP_268407738.1	WP_049587691.1	36.364	44	27	1	27	69	159	202	2.2	27.7
WP_268407738.1	WP_049586783.1	50.000	30	15	0	404	433	372	401	6.2	26.6
WP_268407738.1	WP_049588738.1	40.000	25	15	0	114	138	82	106	8.8	25.8
WP_268407738.1	WP_049586966.1	30.189	53	33	2	48	96	103	155	8.9	25.4
WP_474882151.1	WP_049586429.1	30.000	80	43	2	367	433	323	402	0.11	32.0
WP_474882151.1	WP_049586766.1	36.508	63	26	3	86	142	700	754	0.90	29.3
WP_474882151.1	WP_049586766.1	51.852	27	13	0	408	434	1014	1040	2.5	27.7
WP_474882151.1	WP_049587266.1	32.500	40	25	1	465	502	75	114	1.2	28.5
WP_474882151.1	WP_049585896.1	32.653	49	32	1	314	361	267	315	2.1	27.7
WP_474882151.1	WP_152910888.1	32.000	25	17	0	517	541	16	40	2.9	25.4
WP_474882151.1	WP_014998708.1	40.625	32	18	1	302	332	35	66	4.4	26.2
WP_474882151.1	WP_049589040.1	38.462	52	23	3	408	451	366	416	7.0	26.2
WP_474882151.1	WP_049588801.1	25.926	54	35	1	412	460	357	410	7.4	26.2
WP_474882151.1	WP_049588856.1	40.909	22	13	0	219	240	8	29	8.3	25.8
WP_474843199.1	WP_049586429.1	30.000	80	43	2	367	433	323	402	0.10	32.0
WP_474843199.1	WP_049586766.1	36.508	63	26	3	86	142	700	754	0.90	29.3
WP_474843199.1	WP_049586766.1	51.852	27	13	0	408	434	1014	1040	2.5	27.7
WP_474843199.1	WP_049587266.1	32.500	40	25	1	465	502	75	114	1.2	28.5
WP_474843199.1	WP_049585896.1	32.653	49	32	1	314	361	267	315	2.1	27.7
WP_474843199.1	WP_152910888.1	32.000	25	17	0	517	541	16	40	2.9	25.4
WP_474843199.1	WP_014998708.1	40.625	32	18	1	302	332	35	66	4.5	26.2
WP_474843199.1	WP_049589040.1	38.462	52	23	3	408	451	366	416	6.9	26.2
WP_474843199.1	WP_049588801.1	25.926	54	35	1	412	460	357	410	7.4	26.2
WP_474843199.1	WP_049588856.1	40.909	22	13	0	219	240	8	29	8.3	25.8
