sp|P15993|AROP_ECOLI	3335	22.687	335	223	8	5	324	3	316	3.79e-09	55.5
sp|P15993|AROP_ECOLI	2488	27.027	74	46	3	25	93	150	220	0.67	29.3
sp|P15993|AROP_ECOLI	3232	26.154	65	48	0	283	347	12	76	0.72	28.9
sp|P15993|AROP_ECOLI	325	21.186	236	160	7	26	250	24	244	0.82	28.9
sp|P15993|AROP_ECOLI	1363	31.250	64	39	1	9	67	385	448	2.3	27.7
sp|P24207|PHEP_ECOLI	3335	24.012	329	222	10	12	329	2	313	1.10e-08	53.9
sp|P24207|PHEP_ECOLI	325	25.000	220	147	6	34	246	24	232	0.002	37.0
sp|P24207|PHEP_ECOLI	2488	27.778	72	48	3	33	101	150	220	0.62	29.3
sp|P24207|PHEP_ECOLI	1309	29.213	89	60	1	258	343	49	137	1.9	27.3
sp|P24207|PHEP_ECOLI	3410	45.161	31	16	1	181	210	138	168	2.8	26.9
sp|P0AAD4|TYRP_ECOLI	499	32.692	52	34	1	244	294	66	117	1.3	28.1
sp|P0AAD4|TYRP_ECOLI	2439	26.316	57	42	0	1	57	324	380	3.3	26.6
sp|P0AAD4|TYRP_ECOLI	2379	27.419	124	57	4	18	141	32	122	4.1	26.6
sp|P0AAD4|TYRP_ECOLI	1833	28.814	118	55	5	298	401	25	127	6.6	25.8
sp|P0AAD2|MTR_ECOLI	1049	36.585	41	19	2	360	400	4	37	0.94	28.1
sp|P0AAD2|MTR_ECOLI	244	36.364	22	14	0	32	53	12	33	3.2	24.6
sp|P0AAD2|MTR_ECOLI	1793	30.000	60	34	2	222	276	530	586	5.4	26.2
sp|P0AAD2|MTR_ECOLI	325	37.500	40	22	1	5	41	7	46	8.9	25.4
sp|P0AAD2|MTR_ECOLI	3796	28.571	49	35	0	359	407	63	111	9.2	25.4
