qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|P0AGC0|UHPT_ECOLI	2672	44.000	25	14	0	165	189	99	123	1.9	27.3
sp|P0AGC0|UHPT_ECOLI	4017	40.741	27	16	0	434	460	236	262	4.9	26.2
sp|P0AGC0|UHPT_ECOLI	3530	32.258	31	21	0	134	164	285	315	5.8	26.2
sp|P0AGC0|UHPT_ECOLI	3094	25.714	70	42	1	241	310	91	150	6.8	25.8
sp|P08194|GLPT_ECOLI	1595	22.849	337	200	18	10	323	5	304	0.010	35.0
sp|P08194|GLPT_ECOLI	339	26.087	207	126	8	228	417	186	382	0.048	32.7
sp|P08194|GLPT_ECOLI	1693	52.000	25	12	0	165	189	777	801	0.43	30.0
sp|P08194|GLPT_ECOLI	3025	37.838	37	23	0	85	121	405	441	1.2	28.5
sp|P08194|GLPT_ECOLI	362	35.135	37	24	0	85	121	449	485	1.4	28.1
sp|P08194|GLPT_ECOLI	4101	30.189	53	35	1	370	420	98	150	1.7	27.3
sp|P08194|GLPT_ECOLI	2180	23.810	84	63	1	126	209	33	115	3.2	26.9
sp|P08194|GLPT_ECOLI	625	30.488	82	50	2	354	429	148	228	3.9	26.6
sp|P08194|GLPT_ECOLI	3375	23.529	102	68	2	348	443	50	147	4.4	26.6
sp|P08194|GLPT_ECOLI	2201	45.000	20	11	0	179	198	92	111	4.6	25.4
sp|P12681|PGTP_SALTY	1595	25.714	210	150	5	26	232	20	226	3.62e-06	45.8
sp|P12681|PGTP_SALTY	3718	56.522	23	10	0	92	114	108	130	0.029	33.5
sp|P12681|PGTP_SALTY	72	36.957	46	25	1	73	114	84	129	0.28	30.4
sp|P12681|PGTP_SALTY	2854	24.684	158	112	3	14	165	187	343	0.71	28.9
sp|P12681|PGTP_SALTY	1607	25.397	63	46	1	223	285	268	329	1.5	28.1
sp|P12681|PGTP_SALTY	1195	23.596	89	64	2	34	118	23	111	7.8	25.8
sp|P12681|PGTP_SALTY	1298	35.714	28	18	0	27	54	173	200	8.0	25.8
sp|P12681|PGTP_SALTY	336	33.333	48	32	0	38	85	247	294	8.1	25.8
sp|P12681|PGTP_SALTY	3312	31.169	77	47	3	342	412	164	240	8.3	25.8
sp|P12681|PGTP_SALTY	1810	35.000	40	25	1	384	422	338	377	9.3	25.8
